0.0000000000 0.0000000000 0.0000000000 

-0.0000007618 -0.0000007618 0.0000007618 

-0.0000038460 0.0000007987 -0.0000018781 

-0.0000059771 0.0000033402 0.0000007405 

-0.0000064477 0.0000069414 0.0000037380 

-0.0000572985 0.0000573213 0.0000582450 

-0.0001073969 0.0001080566 0.0001085677 

-0.0001572923 0.0001641680 0.0001616685 

-0.0002104141 0.0002180919 0.0002229268 

-0.0003470533 0.0001915719 0.0001955351 

-0.0004997051 0.0001976953 0.0001613932 

-0.0006535439 0.0002062787 0.0001998408 

-0.0007631890 0.0001944247 0.0001650887 

-0.0008877030 0.0001670299 0.0001898303 

-0.0010191598 0.0001465779 0.0001326924 

-0.0011706430 0.0001124763 0.0001440726 

-0.0013122859 0.0000485067 0.0000941426 

-0.0014681311 -0.0000547768 -0.0000547329 

-0.0016340832 -0.0001407145 -0.0001762645 

-0.0018029236 -0.0002189548 -0.0002432711 

-0.0021260215 -0.0004429666 -0.0004743823 

-0.0024245991 -0.0006526598 -0.0006954123 

-0.0027189534 -0.0008227195 -0.0008767716 

-0.0029940850 -0.0009716998 -0.0009842096 

-0.0032827978 -0.0010862568 -0.0011357007 

-0.0035211055 -0.0012400891 -0.0011647157 

-0.0037117824 -0.0013737272 -0.0013737488 

-0.0038795935 -0.0014686536 -0.0014818645 

-0.0040432005 -0.0016143456 -0.0015919487 

-0.0041923812 -0.0017432175 -0.0018079043 

-0.0043427339 -0.0018274998 -0.0018506453 

-0.0045330748 -0.0018642112 -0.0019009934 

-0.0047320276 -0.0018817999 -0.0019161262 

-0.0049690446 -0.0018862835 -0.0018672799 

-0.0051994189 -0.0019468655 -0.0018906528 

-0.0054261284 -0.0020124621 -0.0019884254 

-0.0056440779 -0.0021316048 -0.0020981031 

-0.0059112501 -0.0023736020 -0.0023647479 

-0.0061284490 -0.0026018908 -0.0026582973 

-0.0063366685 -0.0028325669 -0.0028264108 

-0.0065703234 -0.0030074613 -0.0030880186 

-0.0068052611 -0.0032296870 -0.0031612576 

-0.0070192018 -0.0034358094 -0.0034535727 

-0.0072559547 -0.0036387835 -0.0036366375 

-0.0073694554 -0.0038359023 -0.0036866304 

-0.0078933407 -0.0038926948 -0.0039127371 

-0.0083870310 -0.0039223377 -0.0039798864 

-0.0089047085 -0.0039894548 -0.0039743278 

-0.0094148656 -0.0041388911 -0.0040125740 

-0.0099136541 -0.0043649347 -0.0042528850 

-0.0104378797 -0.0045743044 -0.0045794635 

-0.0109070064 -0.0047837179 -0.0047336686 

-0.0113635371 -0.0049989796 -0.0049859383 

-0.0118016154 -0.0051523717 -0.0052297143 

-0.0121765966 -0.0052478411 -0.0053257653 

-0.0124843968 -0.0053138100 -0.0052961330 

-0.0127565032 -0.0053369775 -0.0053358972 

-0.0129769249 -0.0054290034 -0.0053839199 

-0.0132463733 -0.0055305944 -0.0055443626 

-0.0133740185 -0.0057209753 -0.0056277411 

-0.0137054352 -0.0057321843 -0.0061166938 

-0.0140891159 -0.0057941624 -0.0057546804 

-0.0144733135 -0.0058084703 -0.0058472892 

-0.0148129771 -0.0058695665 -0.0057710367 

-0.0151410876 -0.0060000289 -0.0056582680 

-0.0156657733 -0.0060159150 -0.0059481603 

-0.0161975287 -0.0061684740 -0.0060424083 

-0.0167025346 -0.0063663339 -0.0063693272 

-0.0174059626 -0.0067556235 -0.0063937372 

-0.0184401684 -0.0071282354 -0.0068329684 

-0.0194964651 -0.0075109070 -0.0075229593 

-0.0204624534 -0.0079589169 -0.0078184241 

-0.0214481540 -0.0083912816 -0.0083612381 

-0.0224741958 -0.0087987650 -0.0087383529 

-0.0235054716 -0.0091581652 -0.0090774354 

-0.0244811904 -0.0095342686 -0.0095329890 

-0.0254405625 -0.0098077524 -0.0099293776 

-0.0263240244 -0.0101237781 -0.0101504615 

-0.0272144042 -0.0103264898 -0.0104116434 

-0.0280847661 -0.0104604773 -0.0105445748 

-0.0289733522 -0.0106579363 -0.0105300304 

-0.0297293030 -0.0109602744 -0.0108368183 

-0.0305581372 -0.0112005761 -0.0112856887 

-0.0313991457 -0.0112690590 -0.0113456184 

-0.0323088095 -0.0112209320 -0.0113207651 

-0.0332204513 -0.0110896854 -0.0111342836 

-0.0340292230 -0.0108882105 -0.0108494516 

-0.0348401479 -0.0105910562 -0.0107809557 

-0.0356540419 -0.0103604151 -0.0104133217 

-0.0365639739 -0.0100945495 -0.0101133818 

-0.0375737883 -0.0098526804 -0.0099068731 

-0.0386093259 -0.0095359627 -0.0096082585 

